X,Y
Pb0.98Sn0.98Zr0.04F4.08,-1.535160393
PbSnF4,-1.557859607
Pb0.98Sn0.98Na0.04F3.96,-1.596392198
Pb0.99Sn0.99Na0.02F3.98,-1.622624736
Pb0.98Sn0.98In0.04F4.04,-1.707934505
Pb0.97Sn0.97Zr0.06F4.12,-1.896409704
Pb0.97Sn0.97In0.06F4.06,-2.196107206
Pb0.96Sn0.96Zr0.08F4.16,-2.325519989
Pb0.94Sn0.94Zr0.12F4.24,-2.594572146
K0.93Bi1.07F4.14,-3.080675972
Pb0.8Sn0.2F2,-3.179342704
Pb0.7Sn0.3F2,-3.207327426
Pb0.475Sn0.475Sb0.5F2.05,-3.340439045
RbPbF3,-3.348584528
K0.96Bi1.04F4.08,-3.36592482
Ce0.95Ca0.05F2.95,-3.434408481
Ce0.975Sr0.025F2.975,-3.440763166
K0.08Bi0.92F2.84,-3.471530411
Ce0.98Sr0.02F2.98,-3.480772469
TlSn2F5,-3.5801991
Ce0.95Sr0.05F2.95,-3.586617903
Pb0.67Cd0.33F2,-3.652541675
K0.06Bi0.94F2.88,-3.771601564
Pb0.9Sn0.1F2,-3.774909354
Pb0.9Sc0.1F2.1,-3.77971953
Ce0.9Sr0.1F2.9,-3.796090518
Pb0.45Sn0.45Sb0.1F2.1,-3.820439045
Ce0.93Sr0.07F2.93,-3.848760911
Ce0.9Ba0.1F2.9,-3.849995945
KSbF4,-3.856832554
Ba0.985Sn0.985Nd0.03F4.03,-3.885375049
Sm0.95Ca0.05F2.95,-3.88930303
Pb0.5Sn0.45Sb0.05F2.05,-3.899958413
Ce0.925Ba0.075F2.925,-3.933780151
BaSnF4,-3.938167778
Ce0.975Ba0.025F2.975,-3.943244546
Pb0.88Al0.12F2.12,-3.959992176
Ce0.95Ba0.05F2.95,-3.983164412
Ce0.99Sr0.01F2.99,-4.070709626
BaSnF4,-4.106786421
Ce0.925Ca0.075F2.925,-4.119757927
Pb0.9Al0.1F2.1,-4.139179774
Pb0.4625Sn0.4625Sb0.075F2.075,-4.144718097
Ce0.95Sr0.05F2.95,-4.151832962
Ba0.985Sn0.985Eu0.03F4.03,-4.153898469
K0.82Bi1.18F4.36,-4.199045691
Ce0.9Sr0.1F2.9,-4.208358828
Sm0.93Ca0.07F2.93,-4.211311119
Pb0.95Sr0.05F2,-4.227426132
Pb0.85Zr0.15F2.3,-4.242185817
K0.9Ba0.1BiF4.1,-4.290505991
PbSnF4,-4.305206451
Pb0.5Sn0.425Sb0.075F2.075,-4.338211641
Pb0.5Sn0.4Sb0.1F2.1,-4.354325343
K0.45Pb0.05Bi0.5F2.05,-4.355979584
K0.82Cd0.18BiF4.18,-4.37536675
Ce0.9Ca0.1F2.9,-4.380692499
In0.4Pb0.45Ba0.15F2.4,-4.390638314
Ce0.975Ca0.025F2.975,-4.395212201
K0.975Bi0.975Zr0.05F4.1,-4.400838338
RbSn2F5,-4.424459568
K0.9Cd0.1BiF4.1,-4.435280428
K0.41Pb0.09Bi0.5F2.09,-4.439527508
In0.3Ba0.35Bi0.35F2.65,-4.520318422
RbSn2F5,-4.591032942
Pb0.93K0.07F1.93,-4.596552746
KSn2F5,-4.59940594
Pb0.5Bi0.3Rb0.2F2.1,-4.615481752
KBi0.9Zr0.1F4.1,-4.646278528
Pb0.90Ca0.10F2,-4.681793062
Ce0.95Cd0.05F2.95,-4.699710521
Nd0.94Cd0.06F2.94,-4.766584579
Rb0.45Pb0.05Bi0.5F2.05,-4.768342137
RbPbF3,-4.814857982
Rb0.41Pb0.09Bi0.5F2.09,-4.892771717
BaSnF4,-4.900507669
Sm0.9Ca0.1F2.9,-4.906165666
Pb0.93Ca0.07F2,-4.92004629
KSn2F5,-4.954832262
Pb0.95Al0.05F2.05,-4.988714347
Ba0.6Sn0.4F2,-5.003972585
Pb0.95Ca0.05F2,-5.089172904
CsPbF3,-5.111922821
Pb0.9Sr0.1F2,-5.16567936
Pb0.95Zr0.05F2.1,-5.264325343
Pb0.9Cs0.1F1.9,-5.26567936
Pb0.93Na0.07F1.93,-5.342185817
Ce0.99Sr0.01F2.99,-5.358517985
Pb0.93Sr0.07F2,-5.411312431
TlZrF5,-5.450566124
CeF3,-5.459504199
Pb0.6Zr0.4F2.8,-5.495198729
Pb0.95Cs0.05F1.95,-5.511312431
In0.35Pb0.35Sn0.3F2.35,-5.512072399
Ba0.7Sn0.3F2,-5.523571256
K0.95Bi0.95Zr0.1F4.2,-5.563432072
TlHfF5,-5.654922108
In0.25Pb0.45Zn0.3F2.25,-5.702608489
CeF3,-5.790043357
K0.76Bi1.24F4.48,-5.859593159
Ba0.25Pb0.75F2,-5.922367105
Sm0.87Ca0.13F2.87,-5.938189468
Pb0.93Cs0.07F1.93,-5.949565659
Pb0.93Rb0.07F1.93,-5.995198729
Sn0.9K0.1F1.9,-6.052281488
Pb0.5Bi0.3Cs0.2F2.1,-6.088138225
La0.9Ba0.1F2.9,-6.200400539
KBi0.8Zr0.2F4.2,-6.252349114
Sn0.95K0.05F1.95,-6.265948842
K0.9Bi0.9Zr0.2F4.4,-6.269189329
