Element,at_num,MDS_1,MDS_2,MDS_3,at_wt,ion_rad,en,vale_e_num,polar,valence,ea,ie,melt_p,rs,rp,rd,rsp,rspd,rco,Cp,boil_p,ea-ion_e
Li,3,0.02657034,-0.2065385,-0.6406207,6.94,0.92,0.98,0,0.38,1,60,520.2,452,0.985,0.625,0,1.61,1.61,1.28,3.56,1620,460.2
O,8,0.53283977,0.43544038,-0.0838173,15.9994,1.42,3.44,0,1.988,2,141,1313.9,54.6,0.285,0.18,0,0.465,0.465,0.66,0.917,90,1172.9
F,9,0.3929604,0.5616232,-0.1490682,18.9984032,1.33,3.98,0,1.57,1,328,1681,53.38,0.25,0.155,0,0.405,0.405,0.57,0.825,85,1353
Na,11,0.10287614,-0.0623982,-0.661075,22.989,1.18,0.93,0,0.34,1,53,495.8,370.81,1.1,1.55,0,2.65,2.65,1.66,1.23,1156,442.8
Mg,12,0.23857231,0.03876395,-0.6146776,24.3049,0.89,1.31,0,0.58,2,0,737.7,924,0.9,1.13,0,2.03,2.03,1.41,1.02,1363,737.7
Al,13,0.31504663,0.16080531,-0.5430297,26.98153,0.87,1.61,0,0.33,3,42,577.5,933.4,0.77,0.905,0,1.675,1.675,1.21,0.9,2740,535.5
K,19,-0.0500352,-0.4954009,-0.3773988,39.0983,1.51,0.82,0,0.988,1,48,418.8,336.5,1.54,2.15,0.37,3.69,4.06,2.03,0.75,1033,370.8
Ca,20,-0.0525986,-0.5658688,-0.2330888,40.078,1.12,1,0,1.22,2,2,589.8,1121,1.32,1.68,0.34,3,3.34,1.76,0.653,1757,587.8
Sc,21,-0.1649006,-0.1731106,-0.378145,44.9559,0.87,1.36,0,1.4,3,18,633.1,1814,1.22,1.53,0.31,2.75,3.06,1.7,0.557,3105,615.1
Ti,22,-0.1298943,-0.6016043,-0.1200973,47.866,0.74,1.54,0,2.5,4,8,658.8,1948,1.15,1.43,0.28,2.58,2.86,1.6,0.523,3560,650.8
Zn,30,-0.002679,-0.5659629,0.37773023,65.39,0.9,1.65,10,1.297,2,0,906.9,692.58,0.82,1.06,0.175,1.88,2.055,1.22,0.39,1180,906.9
Ga,31,0.05704192,-0.4094977,0.50176995,69.723,0.62,1.81,10,1.04,3,41,578.8,302.78,0.76,0.935,0.17,1.695,1.865,1.22,0.37,2676,537.8
